[2024-08-19 22:30:51.239]	 List of discovered tpm plugins: jaclu/tmux-menus
[2024-08-19 22:30:51.251]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/install_plugins
[2024-08-19 22:30:51.278]	 Already installed "tmux-menus"
[2024-08-19 22:30:51.290]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/update_plugins all
[2024-08-19 22:30:51.302]	 Updating all plugins!
[2024-08-19 22:30:51.302]	 
[2024-08-19 22:30:51.962]	   "tmux-menus" update success
[2024-08-19 22:30:51.969]	     | From https://github.com/jaclu/tmux-menus
[2024-08-19 22:30:51.969]	     |    4185466..6cf2fb3  main       -> origin/main
[2024-08-19 22:30:51.969]	     | Updating 4185466..6cf2fb3
[2024-08-19 22:30:51.969]	     | Fast-forward
[2024-08-19 22:30:51.970]	     |  .olint.conf | 1 +
[2024-08-19 22:30:51.970]	     |  1 file changed, 1 insertion(+)
[2024-08-19 22:30:52.015]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/clean_plugins all
[2024-08-19 22:30:52.064]	 Done.

[2024-08-19 22:54:24.237]	 List of discovered tpm plugins: jaclu/tmux-menus
[2024-08-19 22:54:24.251]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/install_plugins
[2024-08-19 22:54:24.278]	 Already installed "tmux-menus"
[2024-08-19 22:54:24.291]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/update_plugins all
[2024-08-19 22:54:24.303]	 Updating all plugins!
[2024-08-19 22:54:24.303]	 
[2024-08-19 22:54:24.748]	   "tmux-menus" update success
[2024-08-19 22:54:24.750]	     | Already up to date.
[2024-08-19 22:54:24.765]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/clean_plugins all
[2024-08-19 22:54:24.800]	 Done.

[2024-08-20 15:57:28.327]	 List of discovered tpm plugins: jaclu/tmux-menus
[2024-08-20 15:57:28.338]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/install_plugins
[2024-08-20 15:57:28.365]	 Already installed "tmux-menus"
